StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q4_4_TEXT,Q5,Q5_3_TEXT,Q6,Q10,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14,Q15,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,Q17,Q18,Q19,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q21,Q22,Q23,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Q25,Q26,Q27,Q28_First Click,Q28_Last Click,Q28_Page Submit,Q28_Click Count,Q29,Q30,Q31,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q33,Q34,Q35,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q37,Q38,Q39,Q40_First Click,Q40_Last Click,Q40_Page Submit,Q40_Click Count,Q41,Q42,Q43,Q44_First Click,Q44_Last Click,Q44_Page Submit,Q44_Click Count,Q45,Q46,Q47,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,Q49,Q50,Q51,Q52_First Click,Q52_Last Click,Q52_Page Submit,Q52_Click Count,Q53,Q54,Q55,Q56_First Click,Q56_Last Click,Q56_Page Submit,Q56_Click Count,Q57,Q58,Q59,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q61,Q62,Q63,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,Q65,Q66,Q67,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,Q69,Q70,Q71,Q72_First Click,Q72_Last Click,Q72_Page Submit,Q72_Click Count,Q73,Q74,Q75,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q77,Q78,Q79,Q80_First Click,Q80_Last Click,Q80_Page Submit,Q80_Click Count,Q81,Q82,Q83,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,Q85,Q86,Q87,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q89,Q91,Q92,Q92_1_TEXT,Q93,Q94,Q96,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q111
2019-10-30 08:29:23,2019-10-30 08:37:47,IP Address,137.56.40.23,100,503,True,2019-10-30 08:37:47,R_12ce1j0NHkF89IJ,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,21,Female,,No,Barak Obama,534366,1.138,1.138,4.06,1,I got it right,Marylin monroe,42357,4.884,4.884,11.066,1,I did not recognise the person,,331124,0,0,3.929,0,I did not recognise the person,metallica,650426,1.29,1.29,5.524,1,I did not recognise the person,,5729054,7.693,7.693,8.414,1,I did not recognise the person,whitney houston,34071,1.441,1.441,4.752,1,I got it right,,89265,0,0,4.945,0,I did not recognise the person,Paris Hilton,11217925,1.166,1.166,3.61,1,I got it right,,102690,1.599,1.599,11.701,1,"I recognised the person, but I could not remember their name",Kate Winslet,52707,1.343,1.343,5.041,1,I got it right,,27834683,4.287,4.287,8.582,1,"I recognised the person, but I could not remember their name",,1873388,1.431,1.431,5.315,1,"I recognised the person, but I could not remember their name",,45218,0,0,4.565,0,I did not recognise the person,,4649,0,0,3.332,0,"I recognised the person, but I could not remember their name",Miley Cyrus,8135890,1.146,1.146,4.938,1,I got it right,Rafael Nadal,262376,1.17,1.17,7.877,1,"I got it wrong, but the correct name was “on the tip of my tongue”",,16707,0,0,2.038,0,I did not recognise the person,,18995,0,0,2.267,0,I did not recognise the person,Kyra Neightley,249897,1.323,1.323,6.414,1,I got it right,bill,5052197,1.237,1.237,9.774,1,"I got it wrong, but the correct name was “on the tip of my tongue”",Associate's and/or Bachelor's degree,Please write your answer below:,17,Humanities,Netherlands,PeRiWe18,No,,IM_6ro6G3R8qpOI1b7,Quite good,Good,Good,8-9.5 hours,Good,<1 glasses,No,No,,no suggestions
2019-10-30 08:29:06,2019-10-30 08:37:59,IP Address,137.56.11.108,100,533,True,2019-10-30 08:38:00,R_3D8ixp7K2AFpT7m,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,22,Female,,No,Eminem,4429395,1.778,1.778,3.756,1,I got it right,Jim (...),13331280,1.5,1.5,7.64,1,"I recognised the person, but I could not remember their name",,2575,0,0,4.356,0,I did not recognise the person,Michael Buble,621503,1.583,1.583,25.943,1,I got it right,Steve Jobs,7412236,1.469,1.469,4.769,1,I got it right,Robert Patisson,24041298,1.245,1.245,6.396,1,I got it right,,2777824,0,0,3.154,0,I did not recognise the person,A basketballer,305473,3.286,3.286,9.536,1,I did not recognise the person,Channing Tatum,2095762,1.395,1.395,7.072,1,I got it right,,3213059,0,0,4.249,0,I did not recognise the person,,241848,0,0,1.815,0,I did not recognise the person,,21247,0,0,0.002,0,"I got it wrong, but the correct name was “on the tip of my tongue”",Ozzy Osburn,85406,1.809,1.809,19.858,1,I got it right,Zac Efron,16705483,1.571,1.571,3.398,1,I got it right,Michael (...),3092836,1.473,1.473,8.91,1,"I got it wrong, but the correct name was “on the tip of my tongue”",Spiderman girl,17450,1.817,1.817,9.532,1,"I recognised the person, but I could not remember their name",Indiana Jones,44059,2.014,2.014,14.028,1,"I recognised the person, but I could not remember their name",Cuba crisis,38301,1.74,9.849,15.341,2,"I recognised the person, but I could not remember their name",Fast and Furious,64673,1.479,1.479,11.587,1,"I recognised the person, but I could not remember their name",Tom Hanks,43568,1.561,1.561,3.457,1,I got it right,Associate's and/or Bachelor's degree,Please write your answer below:,18,Humanities,Netherlands,MATHAP07,Yes,up to 5 years,IM_b91AVV97H2Pr9m5,Good,Quite good,Good,8-9.5 hours,Quite good,<1 glasses,No,No,,"Don't use enter. I clicked on enter and I accedently skipped Neil Armstrong, although I knew his name."
2019-10-30 08:32:09,2019-10-30 08:39:03,IP Address,137.56.32.248,100,414,True,2019-10-30 08:39:04,R_1E6uYsIswwRKJMM,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,18,Female,,No,elvis presley,9288,1.543,1.543,5.061,1,I got it right,,15263646,0,0,8.807,0,I did not recognise the person,,3414021,0,0,6.043,0,"I recognised the person, but I could not remember their name",mila kunis,400738,1.348,1.348,5.126,1,I got it right,ryan reinolds,508396,1.919,1.919,9.736,1,I did not recognise the person,,25493,1.733,1.733,3.411,1,I did not recognise the person,,16308,0,0,1.615,0,I did not recognise the person,,4408,1.49,1.49,2.337,1,I did not recognise the person,,6162301,0,0,1.655,0,I did not recognise the person,,159547,0,0,2.007,0,I did not recognise the person,,1116998,0,0,1.445,0,I did not recognise the person,,69323,0,0,1.886,0,"I recognised the person, but I could not remember their name",beyonce,60070,3.784,3.784,8.44,1,I did not recognise the person,george clooney,158889,1.801,1.801,6.788,1,I got it right,,276392,0,0,1.084,0,I did not recognise the person,,397810,0,0,1.184,0,I did not recognise the person,,509997,0,0,1.288,0,I did not recognise the person,,19672919,0,0,1.049,0,I did not recognise the person,miley cyrus,8135890,1.918,1.918,9.896,1,I got it right,,162617,0,0,1.095,0,I did not recognise the person,Some university,Please write your answer below:,15,Science and Technology,Belgium,ANPABR19,No,,IM_eEBneNX4zdufHeZ,Quite good,Quite good,Adequate,8-9.5 hours,Quite poor,<1 glasses,No,Yes,No,.
2019-10-30 08:31:35,2019-10-30 08:41:32,IP Address,137.56.9.162,100,597,True,2019-10-30 08:41:33,R_3HRnABBYqzyvd2G,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,24,Female,,No,Shakira,6479315,1.251,1.251,6.45,1,I got it right,,43113,1.466,1.466,4.99,1,I did not recognise the person,,43373,1.21,7.575,10.158,2,"I recognised the person, but I could not remember their name",,12230,0,0,2.197,0,I did not recognise the person,Kate Hudson,219349,1.06,1.06,4.723,1,I got it right,Mariah Carey,19499,1.595,1.595,5.339,1,I got it right,Sandra Bullock,29455,0.967,0.967,7.324,1,I got it right,Chuck Norris,162617,1.991,1.991,13.018,1,I got it right,Robert Pattinson,24041298,0.964,0.964,8.305,1,I got it right,Rihanna,2110323,1.244,1.244,5.767,1,I got it right,,26182584,0,0,2.211,0,I did not recognise the person,,163416,0,0,2.542,0,I did not recognise the person,Leonardo DiCaprio,52711,0.909,9.33,9.997,3,I got it right,Miley Cyrus,8135890,1.179,1.179,6.773,1,I got it right,,493129,0,0,3.419,0,"I recognised the person, but I could not remember their name",Jay-Z,162870,1.094,1.094,7.91,1,I got it right,,2184757,0,0,8.62,0,"I recognised the person, but I could not remember their name",Leo Messi,2150841,1.02,1.02,16.007,1,I got it right,Elizabeth Taylor,42357,1.03,1.03,13.533,1,I got it right,Audrey Hepburn,52139,0.875,0.875,20.762,1,I got it right,Associate's and/or Bachelor's degree,Please write your answer below:,16,Humanities,Netherlands,TOELSO26,No,,IM_6ro6G3R8qpOI1b7,Quite good,Adequate,Adequate,6-7.5 hours,Quite good,<1 glasses,No,No,,You can add influencers as well.
2019-10-30 08:28:03,2019-10-30 08:41:33,IP Address,84.24.16.83,100,810,True,2019-10-30 08:41:34,R_24CLfKxW2W1gJk8,,,,,51.5760040283203125,5.0377960205078125,anonymous,EN,No,,Please write your answer below:,22,Female,,No,Bruce Willis,64673,64.14,64.14,68.83,1,I got it right,,4993996,7.594,7.594,13.028,1,I did not recognise the person,Andrew Garfield,5993647,3.692,3.692,8.072,1,I got it right,,343554,0,0,0.003,0,"I got it wrong, but the correct name was “on the tip of my tongue”",,37275,0,0,17.702,0,I did not recognise the person,David Guetta,2808834,3.083,3.083,10.314,1,I got it right,Lil Wayne,168540,3.902,3.902,8.855,1,I got it right,Johnny Depp,71870,2.243,2.243,9.075,1,I got it right,,60070,0,0,6.498,0,I did not recognise the person,,730831,0,0,12.315,0,I did not recognise the person,,20913924,0,0,5.745,0,I did not recognise the person,Eddie Murphy,54539,3.201,3.201,6.445,1,I got it right,Kayne West,523032,3.087,3.087,7.248,1,I got it right,,222889,0,0,2.029,0,I did not recognise the person,Kesha,25571585,3.391,3.391,5.382,1,I got it right,,665823,0,0,1.965,0,I did not recognise the person,Tom Hanks,43568,1.967,1.967,5.921,1,I got it right,,166777,0,0,15.725,0,I did not recognise the person,Beyoncé,83688,15.786,27.635,30.096,2,I got it right,Will Smith,154698,1.77,1.77,5.987,1,I got it right,Associate's and/or Bachelor's degree,Please write your answer below:,16,Other,Netherlands,LUMAAR20,Yes,up to 5 years,IM_6ro6G3R8qpOI1b7,Quite good,Adequate,Quite good,6-7.5 hours,Quite good,<1 glasses,Prefer not to say,No,,"Alex Turner, Ezra Koening, Rashida Jones, Amy Pohler, Drake"
2019-10-30 08:28:54,2019-10-30 08:41:43,IP Address,137.56.47.175,100,768,True,2019-10-30 08:41:43,R_1LwIwNBefZhkE0j,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,23,Female,,No,Steve Jobs,7412236,0,0,9.12,0,I got it right,Neil Armstrong,21247,0,0,6.362,0,I got it right,Julia Dreyfous,102685,1.885,1.885,10.326,1,I did not recognise the person,Kristen Steward,2629332,0,0,12.079,0,I got it right,Twilight star,13199916,0,0,23.529,0,"I got it wrong, but the correct name was “on the tip of my tongue”",no idea,43715,5.915,5.915,6.567,1,I did not recognise the person,,29455,2.157,2.157,56.23,1,"I got it wrong, but the correct name was “on the tip of my tongue”",I have a dream,20076,2.202,2.202,23.811,1,"I got it wrong, but the correct name was “on the tip of my tongue”",Justin Bieber,23680998,0,0,5.628,0,I got it right,can't remember her name,219349,1.747,2.766,12.651,2,"I recognised the person, but I could not remember their name",Cindy Crawforth,265422,0,0,13.602,0,I got it right,Johnny Depp,71870,0,0,4.271,0,I got it right,Stan Lee,37313,0,0,13.36,0,"I got it wrong, but the correct name was “on the tip of my tongue”",don't know,16121057,0,0,6.587,0,I did not recognise the person,,763860,0,0,2.617,0,I did not recognise the person,Glee Star,6064346,0,0,11.336,0,"I recognised the person, but I could not remember their name",,240361,2.653,2.653,3.444,1,I did not recognise the person,,314475,1.898,1.898,3.112,1,I did not recognise the person,Queen Elizabeth II,12153654,0,0,8.085,0,I got it right,Bruce,171521,0,0,27.838,0,"I recognised the person, but I could not remember their name",Associate's and/or Bachelor's degree,Please write your answer below:,17,Humanities,Netherlands,FrMaBe16,No,,IM_6ro6G3R8qpOI1b7,Good,Quite good,Adequate,6-7.5 hours,Adequate,<1 glasses,No,No,,No suggestions
2019-10-30 08:35:03,2019-10-30 08:42:09,IP Address,137.56.27.64,100,425,True,2019-10-30 08:42:09,R_3FXJM7axSiSerbi,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,19,Male,,No,,8955445,1.906,1.906,4.479,1,I did not recognise the person,vladimir putin,32817,1.611,1.611,9.166,1,I got it right,,258947,0,0,2.949,0,I did not recognise the person,,249897,0,0,2.484,0,"I recognised the person, but I could not remember their name",,12423551,0,0,2.636,0,I did not recognise the person,,7891,0,0,2.624,0,I did not recognise the person,,277451,0,0,7.148,0,"I recognised the person, but I could not remember their name",niki lauda,40486,1.618,1.618,4.221,1,I got it right,,196338,0,0,2.647,0,"I recognised the person, but I could not remember their name",martin luther king,20076,1.727,1.727,26.213,1,I got it right,cavani,4014486,2.915,2.915,9.056,1,"I got it wrong, but the correct name was “on the tip of my tongue”",kylie jenner,19394613,3.535,3.535,8.944,1,"I got it wrong, but the correct name was “on the tip of my tongue”",,22048328,0,0,2.322,0,I did not recognise the person,,201949,0,0,2.133,0,I did not recognise the person,marylin manson,650426,2.102,2.102,11.986,1,I got it right,,5422144,0,0,2.035,0,I did not recognise the person,marshall mathers,4429395,1.879,1.879,9.147,1,I got it right,,89265,0,0,1.753,0,"I recognised the person, but I could not remember their name",,13199916,3.324,3.324,6.773,1,"I recognised the person, but I could not remember their name",,19831,1.858,1.858,2.611,1,I did not recognise the person,High School,Please write your answer below:,3,Science and Technology,Netherlands,Pa Si To 26,No,,,Quite good,Quite good,Adequate,6-7.5 hours,Good,<1 glasses,No,Yes,Yes,.
2019-10-30 08:33:34,2019-10-30 08:42:13,IP Address,137.56.6.236,100,518,True,2019-10-30 08:42:13,R_1PY41qbLD9Rk7IY,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,18,Male,,No,,12520860,0,0,3.853,0,I did not recognise the person,,140308,0,0,1.748,0,I did not recognise the person,,198606,0,0,2.38,0,I did not recognise the person,Steve Jobs,7412236,1.322,1.322,4.601,1,I got it right,Barack Obama,534366,0.842,0.842,4.51,1,I got it right,,16422,0,0,8.019,0,"I recognised the person, but I could not remember their name",,21504,0,0,2.48,0,I did not recognise the person,,3382,0,0,1.463,0,I did not recognise the person,,8322947,0,0,3.277,0,I did not recognise the person,,26581,0,0,3.509,0,I did not recognise the person,,4429395,0,0,6.682,0,I did not recognise the person,Zuckerberg,2844938,1.173,1.173,20.471,1,I got it right,Bruno Mars,27005455,1.22,1.22,6.127,1,I got it right,,89265,0,0,3.804,0,I did not recognise the person,,2798963,0,0,1.461,0,I did not recognise the person,,591104,0,0,2.881,0,I did not recognise the person,,19394613,0,0,3.595,0,"I recognised the person, but I could not remember their name",,6162301,0,0,1.428,0,I did not recognise the person,,460207,0,0,2.177,0,I did not recognise the person,,168540,0,0,4.435,0,I did not recognise the person,High School,Please write your answer below:,14,Science and Technology,Netherlands,ROYVEI08,No,,,Adequate,Good,Good,8-9.5 hours,Quite good,<1 glasses,No,Yes,No,Max Verstappen
2019-10-30 08:33:43,2019-10-30 08:42:19,IP Address,137.56.60.154,100,515,True,2019-10-30 08:42:19,R_273QWuBk7gHUhmk,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,19,Male,,No,Ronaldo,623737,1.884,1.884,4.888,1,I got it right,Micheal Jackson,14995351,2.294,2.294,8.901,1,I got it right,,13199916,1.957,1.957,7.609,1,"I recognised the person, but I could not remember their name",,1824993,0,0,3.235,0,I did not recognise the person,Neymar,15326144,1.902,1.902,3.851,1,I got it right,Beyonce,2110323,1.987,1.987,5.677,1,"I recognised the person, but I could not remember their name",,656593,0,0,1.507,0,I did not recognise the person,Steve Jobs,7412236,3.847,3.847,7.16,1,I got it right,,157437,0,0,4.899,0,I did not recognise the person,,171521,0,0,1.932,0,I did not recognise the person,,255645,0,0,2.151,0,I did not recognise the person,Slash,18642,2.535,2.535,5.551,1,I did not recognise the person,Shakira,6479315,9.114,9.114,12.533,1,I got it right,Slash,183417,4.239,4.239,8.562,1,I did not recognise the person,,1792975,0,0,1.798,0,I did not recognise the person,James Bond,15252813,4.416,5.248,15.648,2,"I recognised the person, but I could not remember their name",,102690,0,0,4.89,0,I did not recognise the person,,18617829,0,0,10.067,0,I did not recognise the person,,3270177,5.702,5.702,8.966,1,I did not recognise the person,Taylor Swift,5422144,2.497,2.497,13.412,1,I got it right,High School,Please write your answer below:,14,Science and Technology,Netherlands,00,No,,IM_6ro6G3R8qpOI1b7,Good,Quite good,Adequate,8-9.5 hours,Adequate,Prefer not to say,No,No,,-
2019-10-30 08:30:21,2019-10-30 08:42:40,IP Address,137.56.80.173,100,738,True,2019-10-30 08:42:40,R_838FvN0rNJl1mzD,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,25,Female,,No,"Kristen ",2629332,1.382,1.382,25.899,1,"I got it wrong, but the correct name was “on the tip of my tongue”",Marylin Monroe,42357,1.378,1.378,7.167,1,I did not recognise the person,Nixon,195306,1.594,2.118,6.571,2,I did not recognise the person,Martin Luther King,20076,1.035,1.035,5.596,1,I got it right,,4471,1.347,19.797,22.812,2,I did not recognise the person,,162617,1.137,1.137,6.469,1,I did not recognise the person,,2323727,1.064,1.064,15.153,1,I did not recognise the person,jose mourihno,739547,1.324,1.324,97.626,1,I got it right,Michelle Obama,2204744,4.741,13.323,13.956,2,I got it right,Steve Jobs,7412236,1.427,1.427,5.848,1,I got it right,Selena Gomez,6844407,0.977,4.518,4.954,2,I got it right,?,2397,1.114,1.114,3.578,1,"I recognised the person, but I could not remember their name",,1656784,1.369,2.012,3.579,2,I did not recognise the person,Steven Hawking,19376148,1.384,1.384,44.196,1,I got it right,Tom Hanks,43568,1.838,1.838,10.568,1,I got it right,Elvis Presley,9288,0.952,0.952,6.018,1,I got it right,Leonardo DiCaprio,52711,1.171,1.559,6.8,2,I got it right,Adam Sandler,102690,0.897,0.897,6.926,1,I got it right,X,43373,1.94,1.94,3.744,1,"I got it wrong, but the correct name was “on the tip of my tongue”",Justin Bieber,23680998,0.896,0.896,3.225,1,I got it right,Associate's and/or Bachelor's degree,Please write your answer below:,18,Humanities,Netherlands,WIINLE19,Yes,up to 5 years,IM_6ro6G3R8qpOI1b7,Good,Good,Quite good,8-9.5 hours,Quite good,3+ glasses,No,No,,x
2019-10-30 08:32:46,2019-10-30 08:42:53,IP Address,145.107.50.191,100,607,True,2019-10-30 08:42:54,R_12GaAFsXbEOK0Fr,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,21,Female,,No,Shakira,6479315,3.06,3.06,7.004,1,I got it right,Selena Gomez,6844407,1.333,1.333,4.844,1,I got it right,Steve jobs,7412236,1.52,1.52,6.765,1,I got it right,?,524577,3.219,3.673,5.49,2,I did not recognise the person,,187807,2.084,2.084,7.17,1,"I recognised the person, but I could not remember their name",,399146,0,0,2.353,0,I did not recognise the person,,203421,3.176,5.477,5.774,2,"I recognised the person, but I could not remember their name",,163618,0,0,2.193,0,I did not recognise the person,,17173785,0,0,2.431,0,I did not recognise the person,Zac Efron,16705483,2.45,2.45,5.768,1,I got it right,Adele,13041163,1.296,1.296,3.768,1,I got it right,,167805,0,0,35.545,0,"I recognised the person, but I could not remember their name",,690256,2.577,2.577,3.087,1,I did not recognise the person,,17181314,3.203,3.203,3.444,1,"I recognised the person, but I could not remember their name",paus,39660,1.237,1.449,6.056,2,"I got it wrong, but the correct name was “on the tip of my tongue”",micheal jakson,14995351,10.021,10.479,17.144,2,I got it right,,1194370,18.837,18.837,19.392,1,I did not recognise the person,,178826,0,0,2.052,0,I did not recognise the person,Ronaldo,623737,1.067,1.067,4.16,1,I got it right,Liam hamsworth,20022961,1.377,1.377,10.508,1,I got it right,Associate's and/or Bachelor's degree,Please write your answer below:,4,Humanities,Netherlands,HULIAM18,Yes,up to 5 years,IM_6ro6G3R8qpOI1b7,Good,Good,Quite good,,,,No,No,,no
2019-10-30 08:33:40,2019-10-30 08:43:10,IP Address,81.207.70.160,100,570,True,2019-10-30 08:43:11,R_3GxPEFquWILcnTT,,,,,51.4727935791015625,5.56390380859375,anonymous,EN,No,,Please write your answer below:,22,Female,,No,Michael jackson,14995351,0.961,0.961,6.972,1,I got it right,Jennifer aniston,39942,0.824,0.824,4.184,1,I got it right,,18617829,0,0,2.662,0,I did not recognise the person,Pamela anderson,23035,1.37,1.37,4.775,1,I got it right,Leonardo dicaprio,52711,0.808,4.287,10.93,2,I got it right,,1061378,0,0,1.826,0,I did not recognise the person,,444645,0,0,1.616,0,I did not recognise the person,Amy winehouse,939583,0.825,0.825,8.687,1,I got it right,Katy perry,16477368,0.92,0.92,4.876,1,I got it right,"De paus ",39660,0.872,0.872,4.501,1,"I got it wrong, but the correct name was “on the tip of my tongue”",Demi lovatio,12520860,0.909,0.909,3.88,1,I got it right,,42621,0,0,4.67,0,"I got it wrong, but the correct name was “on the tip of my tongue”",,164390,0,0,1.288,0,I did not recognise the person,Jonas,18120823,1.861,1.861,3.984,1,"I got it wrong, but the correct name was “on the tip of my tongue”",,171003,0,0,1.438,0,I did not recognise the person,Martin luther king,20076,1.172,1.172,4.925,1,I got it right,,38459,0,0,4.136,0,"I got it wrong, but the correct name was “on the tip of my tongue”",Jay z,162870,1.037,1.037,3.682,1,I got it right,Rober pattinson,24041298,0.816,0.816,10.272,1,I got it right,,15326144,0,0,1.422,0,I did not recognise the person,Associate's and/or Bachelor's degree,Please write your answer below:,17,Humanities,Netherlands,BECANU14,Yes,up to 1 year,IM_6ro6G3R8qpOI1b7,Quite good,Quite good,Quite poor,6-7.5 hours,Good,<1 glasses,Yes,Yes,No,"No suggestions "
2019-10-30 08:39:10,2019-10-30 08:43:41,IP Address,137.56.32.248,100,271,True,2019-10-30 08:43:42,R_PAPuzXFuGYmYkLL,,,,,51.58349609375,5.0995941162109375,anonymous,EN,Yes,ANPABR19,,,,,,queen elizabeth,12153654,1.828,1.828,5.991,1,I got it right,,76772,0,0,2.177,0,"I recognised the person, but I could not remember their name",,1806,0,0,1.606,0,I did not recognise the person,michelle obama,2204744,4.572,4.572,12.514,1,I got it right,hilary clinton,5043192,8.017,8.017,10.87,1,I got it right,,353535,0,0,1.245,0,I did not recognise the person,,4429395,0,0,2.032,0,"I recognised the person, but I could not remember their name",kim kardashian,19394613,1.474,1.474,4.29,1,I got it right,stephen hawking,19376148,1.17,1.17,4.919,1,I got it right,micheal jackson,14995351,1.742,1.742,4.966,1,I got it right,,34226,0,0,1.495,0,I did not recognise the person,will smith,154698,1.402,1.402,2.969,1,I got it right,,166959,0,0,1.388,0,I did not recognise the person,selena gomez,6844407,1.198,1.198,4.501,1,I got it right,,876916,1.49,2.115,5.425,2,"I recognised the person, but I could not remember their name",,12788962,0,0,6.501,0,I did not recognise the person,,90095,1.297,2.113,3.645,2,"I recognised the person, but I could not remember their name",,11955,0,0,1.271,0,"I recognised the person, but I could not remember their name",,16175,2.206,2.206,2.768,1,I did not recognise the person,aubrey auburn,44463,2.094,2.094,8.922,1,I did not recognise the person,Some university,Please write your answer below:,15,Science and Technology,Belgium,,No,,IM_6ro6G3R8qpOI1b7,Quite good,Quite good,Adequate,8-9.5 hours,Quite poor,<1 glasses,No,Yes,No,","
2019-10-30 08:34:54,2019-10-30 08:43:42,IP Address,137.56.24.76,100,527,True,2019-10-30 08:43:42,R_28BAaaFazywVlkl,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,Please write your answer below:,18,Male,,No,,59600,0,0,5.715,0,I did not recognise the person,,12731,0,0,2.097,0,I did not recognise the person,selena gomes,6844407,2.29,3.08,9.533,2,I got it right,charlie chaplon,9288,2.5,3.584,8.403,2,I did not recognise the person,fernando llorente,6049880,1.908,1.908,5.029,1,I got it right,leonardo dicaprio,52711,3.643,3.643,7.39,1,I got it right,kimi raikkonen,234756,2.013,2.013,4.972,1,I got it right,ronaldo da silva,66164,1.592,1.592,10.684,1,I got it right,,274539,1.342,1.342,2.64,1,"I recognised the person, but I could not remember their name",stephen hawking,19376148,1.3,1.3,8.786,1,I got it right,messi,2150841,1.101,1.101,8.283,1,I got it right,,400738,1.27,1.696,7.313,2,I got it right,zlatan,728776,1.626,2.37,4.499,2,I got it right,eminem,4429395,2.939,2.939,8.497,1,I got it right,peeta mellark,3164979,3.44,3.44,6.981,1,"I recognised the person, but I could not remember their name",,8490390,0,0,3.697,0,I did not recognise the person,jusitn,23680998,1.243,1.243,2.5,1,I got it right,,46165,0,0,1.688,0,I did not recognise the person,,5792809,0,0,8.315,0,I did not recognise the person,anniston,876916,3.948,3.948,6.48,1,I did not recognise the person,High School,Please write your answer below:,15,Science and Technology,Netherlands,ALDIDE13,No,,IM_6ro6G3R8qpOI1b7,Good,Good,Adequate,8-9.5 hours,Adequate,Prefer not to say,No,No,,-
2019-10-30 08:38:44,2019-10-30 08:43:45,IP Address,137.56.40.23,100,301,True,2019-10-30 08:43:46,R_3g57etJXJndZYqe,,,,,51.58349609375,5.0995941162109375,anonymous,EN,Yes,PeRiWe18,,,,,,,3747,0,0,2.081,0,I did not recognise the person,,2323727,4.627,4.627,5.337,1,I did not recognise the person,,383899,0,0,1.641,0,I did not recognise the person,Reise Witherspoon,93560,3.086,3.086,7.084,1,I got it right,,4014486,0,0,3.663,0,I did not recognise the person,Will Smith,154698,3.515,4.831,9.806,2,I got it right,Roger Federer,262376,1.18,1.18,9.364,1,I got it right,,13331280,0,0,3.375,0,I did not recognise the person,Elvis Presley,9288,4.099,4.099,7.672,1,I got it right,Sein,296256,3.534,3.534,5.365,1,I did not recognise the person,Bella Hadid,1769827,3,3,5.853,1,I did not recognise the person,,463533,0,0,2.878,0,I did not recognise the person,,1491798,0.563,1.825,10.579,2,I did not recognise the person,,42621,1.634,6.984,7.423,2,"I recognised the person, but I could not remember their name",Christiano Ronaldo,623737,1.075,6.169,8.92,2,I got it right,,356167,0,0,2.064,0,I did not recognise the person,,1996436,1.119,1.119,14.197,1,"I recognised the person, but I could not remember their name",,102994,0,0,1.744,0,I did not recognise the person,the pope,23805,1.251,1.251,3.627,1,"I recognised the person, but I could not remember their name",Putin,32817,0.878,0.878,21.164,1,I got it right,Associate's and/or Bachelor's degree,Please write your answer below:,17,Humanities,Netherlands,,No,,IM_6ro6G3R8qpOI1b7,Quite good,Good,Good,8-9.5 hours,Good,<1 glasses,No,No,,no suggestions
